'32, SCC 32', 'coremark', 'coremark', 6839669, 5977098
'128, SCC 128', 'coremark', 'coremark', 6618046, 5977098
'192, SCC 192', 'coremark', 'coremark', 6491439, 5977098
'256, SCC 256', 'coremark', 'coremark', 6462561, 5977098
'512, SCC 512', 'coremark', 'coremark', 6541821, 5977098
'1024, SCC 1024', 'coremark', 'coremark', 6246275, 5977098
'32, SCC 32', 'mibench', 'basicmath_tiny', 26876359, 21990390
'128, SCC 128', 'mibench', 'basicmath_tiny', 24741164, 21990390
'192, SCC 192', 'mibench', 'basicmath_tiny', 24503475, 21990390
'256, SCC 256', 'mibench', 'basicmath_tiny', 23930459, 21990390
'512, SCC 512', 'mibench', 'basicmath_tiny', 23199866, 21990390
'1024, SCC 1024', 'mibench', 'basicmath_tiny', 23031574, 21990390
'32, SCC 32', 'mibench', 'bitcnts', 55964870, 50939444
'128, SCC 128', 'mibench', 'bitcnts', 50936796, 50939444
'192, SCC 192', 'mibench', 'bitcnts', 50937249, 50939444
'256, SCC 256', 'mibench', 'bitcnts', 50936264, 50939444
'512, SCC 512', 'mibench', 'bitcnts', 50935830, 50939444
'1024, SCC 1024', 'mibench', 'bitcnts', 50935342, 50939444
'32, SCC 32', 'mibench', 'cjpeg_small', 62127129, 57842039
'128, SCC 128', 'mibench', 'cjpeg_small', 61823801, 57842039
'192, SCC 192', 'mibench', 'cjpeg_small', 61165551, 57842039
'256, SCC 256', 'mibench', 'cjpeg_small', 61245750, 57842039
'512, SCC 512', 'mibench', 'cjpeg_small', 59758426, 57842039
'1024, SCC 1024', 'mibench', 'cjpeg_small', 57401273, 57842039
'32, SCC 32', 'mibench', 'crc_32', 24841535, 21743560
'128, SCC 128', 'mibench', 'crc_32', 24495602, 21743560
'192, SCC 192', 'mibench', 'crc_32', 24831571, 21743560
'256, SCC 256', 'mibench', 'crc_32', 24831822, 21743560
'512, SCC 512', 'mibench', 'crc_32', 22773614, 21743560
'1024, SCC 1024', 'mibench', 'crc_32', 22428938, 21743560
'32, SCC 32', 'mibench', 'csusan_small', 2650268, 2237760
'128, SCC 128', 'mibench', 'csusan_small', 2522782, 2237760
'192, SCC 192', 'mibench', 'csusan_small', 2484664, 2237760
'256, SCC 256', 'mibench', 'csusan_small', 2406204, 2237760
'512, SCC 512', 'mibench', 'csusan_small', 2325923, 2237760
'1024, SCC 1024', 'mibench', 'csusan_small', 2298844, 2237760
'32, SCC 32', 'mibench', 'dbf', 88343336, 82674035
'128, SCC 128', 'mibench', 'dbf', 87406906, 82674035
'192, SCC 192', 'mibench', 'dbf', 88208248, 82674035
'256, SCC 256', 'mibench', 'dbf', 86953158, 82674035
'512, SCC 512', 'mibench', 'dbf', 85077603, 82674035
'1024, SCC 1024', 'mibench', 'dbf', 83512240, 82674035
'32, SCC 32', 'mibench', 'dijkstra_small', 87430206, 80387806
'128, SCC 128', 'mibench', 'dijkstra_small', 86649161, 80387806
'192, SCC 192', 'mibench', 'dijkstra_small', 86603236, 80387806
'256, SCC 256', 'mibench', 'dijkstra_small', 86314144, 80387806
'512, SCC 512', 'mibench', 'dijkstra_small', 85955631, 80387806
'1024, SCC 1024', 'mibench', 'dijkstra_small', 85863283, 80387806
'32, SCC 32', 'mibench', 'djpeg_small', 16935646, 15796083
'128, SCC 128', 'mibench', 'djpeg_small', 16245319, 15796083
'192, SCC 192', 'mibench', 'djpeg_small', 16826589, 15796083
'256, SCC 256', 'mibench', 'djpeg_small', 16199850, 15796083
'512, SCC 512', 'mibench', 'djpeg_small', 16166690, 15796083
'1024, SCC 1024', 'mibench', 'djpeg_small', 16056643, 15796083
'32, SCC 32', 'mibench', 'drijndael', 70279954, 64740176
'128, SCC 128', 'mibench', 'drijndael', 68821527, 64740176
'192, SCC 192', 'mibench', 'drijndael', 69317914, 64740176
'256, SCC 256', 'mibench', 'drijndael', 67951291, 64740176
'512, SCC 512', 'mibench', 'drijndael', 65982076, 64740176
'1024, SCC 1024', 'mibench', 'drijndael', 65782729, 64740176
'32, SCC 32', 'mibench', 'ebf', 88678914, 82954024
'128, SCC 128', 'mibench', 'ebf', 87755634, 82954024
'192, SCC 192', 'mibench', 'ebf', 88531423, 82954024
'256, SCC 256', 'mibench', 'ebf', 87259782, 82954024
'512, SCC 512', 'mibench', 'ebf', 85378565, 82954024
'1024, SCC 1024', 'mibench', 'ebf', 83793151, 82954024
'32, SCC 32', 'mibench', 'erijndael', 76259286, 70705505
'128, SCC 128', 'mibench', 'erijndael', 74620125, 70705505
'192, SCC 192', 'mibench', 'erijndael', 75340676, 70705505
'256, SCC 256', 'mibench', 'erijndael', 73913374, 70705505
'512, SCC 512', 'mibench', 'erijndael', 71883196, 70705505
'1024, SCC 1024', 'mibench', 'erijndael', 71633782, 70705505
'32, SCC 32', 'mibench', 'esusan_small', 4680285, 4182980
'128, SCC 128', 'mibench', 'esusan_small', 4508460, 4182980
'192, SCC 192', 'mibench', 'esusan_small', 4485708, 4182980
'256, SCC 256', 'mibench', 'esusan_small', 4380718, 4182980
'512, SCC 512', 'mibench', 'esusan_small', 4282463, 4182980
'1024, SCC 1024', 'mibench', 'esusan_small', 4258354, 4182980
'32, SCC 32', 'mibench', 'fft_tiny', 8069554, 6583893
'128, SCC 128', 'mibench', 'fft_tiny', 7406688, 6583893
'192, SCC 192', 'mibench', 'fft_tiny', 7310964, 6583893
'256, SCC 256', 'mibench', 'fft_tiny', 7134565, 6583893
'512, SCC 512', 'mibench', 'fft_tiny', 6909001, 6583893
'1024, SCC 1024', 'mibench', 'fft_tiny', 6886597, 6583893
'32, SCC 32', 'mibench', 'ifft_tiny', 7828446, 6387644
'128, SCC 128', 'mibench', 'ifft_tiny', 7189228, 6387644
'192, SCC 192', 'mibench', 'ifft_tiny', 7098465, 6387644
'256, SCC 256', 'mibench', 'ifft_tiny', 6925276, 6387644
'512, SCC 512', 'mibench', 'ifft_tiny', 6707208, 6387644
'1024, SCC 1024', 'mibench', 'ifft_tiny', 6682628, 6387644
'32, SCC 32', 'mibench', 'patricia', 221822027, 201902837
'128, SCC 128', 'mibench', 'patricia', 216079908, 201902837
'192, SCC 192', 'mibench', 'patricia', 215772626, 201902837
'256, SCC 256', 'mibench', 'patricia', 214385076, 201902837
'512, SCC 512', 'mibench', 'patricia', 210303578, 201902837
'1024, SCC 1024', 'mibench', 'patricia', 208088570, 201902837
'32, SCC 32', 'mibench', 'qsort_small', 53947608, 47710636
'128, SCC 128', 'mibench', 'qsort_small', 53037837, 47710636
'192, SCC 192', 'mibench', 'qsort_small', 53695670, 47710636
'256, SCC 256', 'mibench', 'qsort_small', 52298304, 47710636
'512, SCC 512', 'mibench', 'qsort_small', 49995905, 47710636
'1024, SCC 1024', 'mibench', 'qsort_small', 49628926, 47710636
'32, SCC 32', 'mibench', 'rawcaudio', 86699925, 73413348
'128, SCC 128', 'mibench', 'rawcaudio', 86696918, 73413348
'192, SCC 192', 'mibench', 'rawcaudio', 86696887, 73413348
'256, SCC 256', 'mibench', 'rawcaudio', 86699887, 73413348
'512, SCC 512', 'mibench', 'rawcaudio', 86696870, 73413348
'1024, SCC 1024', 'mibench', 'rawcaudio', 86696808, 73413348
'32, SCC 32', 'mibench', 'rawdaudio', 65526571, 55339158
'128, SCC 128', 'mibench', 'rawdaudio', 65526567, 55339158
'192, SCC 192', 'mibench', 'rawdaudio', 65526536, 55339158
'256, SCC 256', 'mibench', 'rawdaudio', 65587013, 55339158
'512, SCC 512', 'mibench', 'rawdaudio', 65526519, 55339158
'1024, SCC 1024', 'mibench', 'rawdaudio', 65526454, 55339158
'32, SCC 32', 'mibench', 'rsynth_tiny', 49886814, 39549516
'128, SCC 128', 'mibench', 'rsynth_tiny', 45752660, 39549516
'192, SCC 192', 'mibench', 'rsynth_tiny', 44043825, 39549516
'256, SCC 256', 'mibench', 'rsynth_tiny', 42693392, 39549516
'512, SCC 512', 'mibench', 'rsynth_tiny', 42096661, 39549516
'1024, SCC 1024', 'mibench', 'rsynth_tiny', 40788720, 39549516
'32, SCC 32', 'mibench', 'search_large', 14647319, 12904076
'128, SCC 128', 'mibench', 'search_large', 13993837, 12904076
'192, SCC 192', 'mibench', 'search_large', 14198672, 12904076
'256, SCC 256', 'mibench', 'search_large', 13921002, 12904076
'512, SCC 512', 'mibench', 'search_large', 13688306, 12904076
'1024, SCC 1024', 'mibench', 'search_large', 13550968, 12904076
'32, SCC 32', 'mibench', 'search_small', 586318, 526094
'128, SCC 128', 'mibench', 'search_small', 561527, 526094
'192, SCC 192', 'mibench', 'search_small', 569122, 526094
'256, SCC 256', 'mibench', 'search_small', 558480, 526094
'512, SCC 512', 'mibench', 'search_small', 550056, 526094
'1024, SCC 1024', 'mibench', 'search_small', 544603, 526094
'32, SCC 32', 'mibench', 'sha', 26285883, 24033031
'128, SCC 128', 'mibench', 'sha', 26279071, 24033031
'192, SCC 192', 'mibench', 'sha', 26275682, 24033031
'256, SCC 256', 'mibench', 'sha', 25953840, 24033031
'512, SCC 512', 'mibench', 'sha', 24041851, 24033031
'1024, SCC 1024', 'mibench', 'sha', 24085951, 24033031
'32, SCC 32', 'mibench', 'ssusan_small', 33221877, 31799491
'128, SCC 128', 'mibench', 'ssusan_small', 32863548, 31799491
'192, SCC 192', 'mibench', 'ssusan_small', 32857221, 31799491
'256, SCC 256', 'mibench', 'ssusan_small', 32713914, 31799491
'512, SCC 512', 'mibench', 'ssusan_small', 32535211, 31799491
'1024, SCC 1024', 'mibench', 'ssusan_small', 32519856, 31799491
'32, SCC 32', 'mrtc', 'adpcm', 2236529, 2236195
'128, SCC 128', 'mrtc', 'adpcm', 2236525, 2236195
'192, SCC 192', 'mrtc', 'adpcm', 2236489, 2236195
'256, SCC 256', 'mrtc', 'adpcm', 2236474, 2236195
'512, SCC 512', 'mrtc', 'adpcm', 2236459, 2236195
'1024, SCC 1024', 'mrtc', 'adpcm', 2236360, 2236195
'32, SCC 32', 'mrtc', 'bsort100', 207213, 177137
'128, SCC 128', 'mrtc', 'bsort100', 207216, 177137
'192, SCC 192', 'mrtc', 'bsort100', 207183, 177137
'256, SCC 256', 'mrtc', 'bsort100', 207186, 177137
'512, SCC 512', 'mrtc', 'bsort100', 177229, 177137
'1024, SCC 1024', 'mrtc', 'bsort100', 177177, 177137
'32, SCC 32', 'mrtc', 'bs', 817, 627
'128, SCC 128', 'mrtc', 'bs', 779, 627
'192, SCC 192', 'mrtc', 'bs', 739, 627
'256, SCC 256', 'mrtc', 'bs', 745, 627
'512, SCC 512', 'mrtc', 'bs', 725, 627
'1024, SCC 1024', 'mrtc', 'bs', 670, 627
'32, SCC 32', 'mrtc', 'cnt', 3975, 3826
'128, SCC 128', 'mrtc', 'cnt', 3975, 3826
'192, SCC 192', 'mrtc', 'cnt', 3951, 3826
'256, SCC 256', 'mrtc', 'cnt', 3948, 3826
'512, SCC 512', 'mrtc', 'cnt', 3931, 3826
'1024, SCC 1024', 'mrtc', 'cnt', 3862, 3826
'32, SCC 32', 'mrtc', 'compress', 7719, 7071
'128, SCC 128', 'mrtc', 'compress', 7715, 7071
'192, SCC 192', 'mrtc', 'compress', 7685, 7071
'256, SCC 256', 'mrtc', 'compress', 7685, 7071
'512, SCC 512', 'mrtc', 'compress', 7668, 7071
'1024, SCC 1024', 'mrtc', 'compress', 7609, 7071
'32, SCC 32', 'mrtc', 'cover', 1837, 1592
'128, SCC 128', 'mrtc', 'cover', 1833, 1592
'192, SCC 192', 'mrtc', 'cover', 1803, 1592
'256, SCC 256', 'mrtc', 'cover', 1759, 1592
'512, SCC 512', 'mrtc', 'cover', 1694, 1592
'1024, SCC 1024', 'mrtc', 'cover', 1635, 1592
'32, SCC 32', 'mrtc', 'crc', 15370, 15169
'128, SCC 128', 'mrtc', 'crc', 15377, 15169
'192, SCC 192', 'mrtc', 'crc', 15323, 15169
'256, SCC 256', 'mrtc', 'crc', 15323, 15169
'512, SCC 512', 'mrtc', 'crc', 15282, 15169
'1024, SCC 1024', 'mrtc', 'crc', 15199, 15169
'32, SCC 32', 'mrtc', 'duff', 1211, 1055
'128, SCC 128', 'mrtc', 'duff', 1207, 1055
'192, SCC 192', 'mrtc', 'duff', 1167, 1055
'256, SCC 256', 'mrtc', 'duff', 1167, 1055
'512, SCC 512', 'mrtc', 'duff', 1153, 1055
'1024, SCC 1024', 'mrtc', 'duff', 1098, 1055
'32, SCC 32', 'mrtc', 'edn', 49272, 48627
'128, SCC 128', 'mrtc', 'edn', 49267, 48627
'192, SCC 192', 'mrtc', 'edn', 49234, 48627
'256, SCC 256', 'mrtc', 'edn', 49180, 48627
'512, SCC 512', 'mrtc', 'edn', 49163, 48627
'1024, SCC 1024', 'mrtc', 'edn', 49105, 48627
'32, SCC 32', 'mrtc', 'expint', 77872, 77412
'128, SCC 128', 'mrtc', 'expint', 77868, 77412
'192, SCC 192', 'mrtc', 'expint', 77832, 77412
'256, SCC 256', 'mrtc', 'expint', 77521, 77412
'512, SCC 512', 'mrtc', 'expint', 77507, 77412
'1024, SCC 1024', 'mrtc', 'expint', 77452, 77412
'32, SCC 32', 'mrtc', 'fac', 702, 546
'128, SCC 128', 'mrtc', 'fac', 698, 546
'192, SCC 192', 'mrtc', 'fac', 658, 546
'256, SCC 256', 'mrtc', 'fac', 658, 546
'512, SCC 512', 'mrtc', 'fac', 644, 546
'1024, SCC 1024', 'mrtc', 'fac', 589, 546
'32, SCC 32', 'mrtc', 'fdct', 2957, 2808
'128, SCC 128', 'mrtc', 'fdct', 2967, 2808
'192, SCC 192', 'mrtc', 'fdct', 2934, 2808
'256, SCC 256', 'mrtc', 'fdct', 2934, 2808
'512, SCC 512', 'mrtc', 'fdct', 2920, 2808
'1024, SCC 1024', 'mrtc', 'fdct', 2844, 2808
'32, SCC 32', 'mrtc', 'fft1', 55274, 45659
'128, SCC 128', 'mrtc', 'fft1', 50962, 45659
'192, SCC 192', 'mrtc', 'fft1', 50361, 45659
'256, SCC 256', 'mrtc', 'fft1', 48582, 45659
'512, SCC 512', 'mrtc', 'fft1', 47316, 45659
'1024, SCC 1024', 'mrtc', 'fft1', 46952, 45659
'32, SCC 32', 'mrtc', 'fibcall', 702, 546
'128, SCC 128', 'mrtc', 'fibcall', 698, 546
'192, SCC 192', 'mrtc', 'fibcall', 658, 546
'256, SCC 256', 'mrtc', 'fibcall', 658, 546
'512, SCC 512', 'mrtc', 'fibcall', 644, 546
'1024, SCC 1024', 'mrtc', 'fibcall', 589, 546
'32, SCC 32', 'mrtc', 'fir', 2829, 2597
'128, SCC 128', 'mrtc', 'fir', 2825, 2597
'192, SCC 192', 'mrtc', 'fir', 2795, 2597
'256, SCC 256', 'mrtc', 'fir', 2795, 2597
'512, SCC 512', 'mrtc', 'fir', 2689, 2597
'1024, SCC 1024', 'mrtc', 'fir', 2630, 2597
'32, SCC 32', 'mrtc', 'insertsort', 2134, 1884
'128, SCC 128', 'mrtc', 'insertsort', 2127, 1884
'192, SCC 192', 'mrtc', 'insertsort', 2097, 1884
'256, SCC 256', 'mrtc', 'insertsort', 2094, 1884
'512, SCC 512', 'mrtc', 'insertsort', 1976, 1884
'1024, SCC 1024', 'mrtc', 'insertsort', 1917, 1884
'32, SCC 32', 'mrtc', 'janne_complex', 1000, 804
'128, SCC 128', 'mrtc', 'janne_complex', 996, 804
'192, SCC 192', 'mrtc', 'janne_complex', 916, 804
'256, SCC 256', 'mrtc', 'janne_complex', 922, 804
'512, SCC 512', 'mrtc', 'janne_complex', 902, 804
'1024, SCC 1024', 'mrtc', 'janne_complex', 847, 804
'32, SCC 32', 'mrtc', 'jfdctint', 4671, 4525
'128, SCC 128', 'mrtc', 'jfdctint', 4677, 4525
'192, SCC 192', 'mrtc', 'jfdctint', 4644, 4525
'256, SCC 256', 'mrtc', 'jfdctint', 4641, 4525
'512, SCC 512', 'mrtc', 'jfdctint', 4624, 4525
'1024, SCC 1024', 'mrtc', 'jfdctint', 4558, 4525
'32, SCC 32', 'mrtc', 'lcdnum', 1121, 919
'128, SCC 128', 'mrtc', 'lcdnum', 1117, 919
'192, SCC 192', 'mrtc', 'lcdnum', 1087, 919
'256, SCC 256', 'mrtc', 'lcdnum', 1087, 919
